NORMAL_ID,raw_white,raw_ground,raw_universe,has_stats,ground,white,candidate,ID
8776227,1,1,1,1,0,1,0,132709513657917
8786035,1,1,1,1,0,1,0,278048633094091
8826292,0,0,1,1,0,0,1,267283629146599
8900191,0,0,1,1,0,0,1,229526950857030
8993907,0,1,1,1,1,0,1,188569950507847
9452145,0,0,1,1,0,0,1,125934003926480
9785810,1,1,1,1,0,1,0,240388024087927
10067259,1,1,1,1,0,1,0,32476064976155
10079945,1,1,1,1,0,1,0,106725315952827
10204813,1,1,1,1,0,1,0,165758782290022
1022990,1,1,1,1,0,1,0,124822445225253
10381061,0,0,1,1,0,0,1,172437155011086
10528602,1,1,1,1,0,1,0,141625910103139
10607187,1,1,1,1,0,1,0,188981276011035
10624895,1,1,1,1,0,1,0,162864244028409
10638073,1,1,1,1,0,1,0,132816495924097
1072283,1,1,1,1,0,1,0,246022419866158
10742631,1,1,1,1,0,1,0,89646701007014
10923419,1,1,1,1,0,1,0,64936333787997
10966804,1,1,1,1,0,1,0,227992166198412
10974758,1,1,1,1,0,1,0,143981785581280
11052096,1,1,1,1,0,1,0,100240262335178
11052959,1,1,1,1,0,1,0,242685703807704
11107448,1,1,1,1,0,1,0,234802245736332
11145684,1,1,1,1,0,1,0,3922248851793
11676101,1,0,1,1,0,1,0,212363167101528
12064307,1,1,1,1,0,1,0,101727451806147
12242029,1,1,1,1,0,1,0,148398558246681
12344610,0,0,1,1,0,0,1,116671069049735
12667278,1,1,1,1,0,1,0,264414211858503
12835129,1,1,1,1,0,1,0,268082306268418
13589539,0,1,1,1,1,0,1,17192233140232
14220307,1,1,1,1,0,1,0,119249548492549
14248161,1,1,1,1,0,1,0,182962791604148
14337849,1,1,1,1,0,1,0,80637649994316
14690988,1,1,1,1,0,1,0,227079896862423
14986774,1,1,1,1,0,1,0,252842859609780
15090559,1,1,1,1,0,1,0,223269625318741
15255928,1,1,1,1,0,1,0,187304584257160
15692540,1,1,1,1,0,1,0,151228453026528
15900676,1,1,1,1,0,1,0,243588105252947
16067625,1,1,1,1,0,1,0,55916563715622
16179768,1,1,1,1,0,1,0,215020641329688
16215190,1,1,1,1,0,1,0,194212011173605
16262916,1,0,1,1,0,1,0,18115837298413
16370806,1,1,1,1,0,1,0,204110298939422
16718912,1,1,1,1,0,1,0,170865100963232
16924812,1,0,1,1,0,1,0,255774819647688
16985439,0,0,1,1,0,0,1,71552824324664
17401666,1,1,1,1,0,1,0,215111122648417
17744118,1,1,1,1,0,1,0,79023828092249
17819150,0,1,1,1,1,0,1,52940183595044
18792556,1,1,1,1,0,1,0,146319659680733
18899640,1,0,1,1,0,1,0,70951637633469
18928487,1,0,1,1,0,1,0,186086388153074
19258151,1,0,1,1,0,1,0,273269519401463
19259002,1,1,1,1,0,1,0,279088478780916
19587143,1,1,1,1,0,1,0,10240632578855
19825756,1,1,1,1,0,1,0,12840900481205
20307198,1,1,1,1,0,1,0,94233710220162
20651282,1,1,1,1,0,1,0,164367564826471
21141324,1,0,1,1,0,1,0,213770863910782
2132272,1,1,1,1,0,1,0,55598571787473
