,ExternalScorer_LeaveUnscored_file1_col1
391848367.0,191.0
2284863940.0,1150.0
2877448651.0,200.0
2648768974.0,202.0
3103965649.0,204.0
2899255767.0,207.0
2753938852.0,208.0
1373077981.0,209.0
3291931107.0,210.0
2976760295.0,212.0
3937534441.0,214.0
2566373869.0,215.0
153805298.0,216.0
3259998708.0,217.0
2570693374.0,1197.0
2638545403.0,1279.0
3669713407.0,222.0
3405480451.0,225.0
1470259719.0,227.0
740557322.0,229.0
1571799565.0,1335.0
3891479981.0,633.0
986341913.0,235.0
705159706.0,236.0
1081721374.0,239.0
1863241819.0,1761.0
2597126692.0,242.0
221667877.0,243.0
1914327446.0,1867.0
223183399.0,245.0
3211469352.0,246.0
241197609.0,247.0
1984922154.0,248.0
2576130613.0,251.0
3395469881.0,253.0
3402240151.0,1789.0
1663754816.0,254.0
1271890500.0,256.0
1343382088.0,258.0
3033178703.0,259.0
292889168.0,1501.0
666796625.0,261.0
3016565331.0,262.0
2052186708.0,263.0
1490195897.0,265.0
4169212504.0,1517.0
417350235.0,268.0
1728774750.0,270.0
311411296.0,272.0
1287709284.0,275.0
4235797096.0,276.0
675529322.0,277.0
1059373679.0,278.0
4062413426.0,279.0
1409090165.0,281.0
4113760888.0,1598.0
369566332.0,284.0
2875887722.0,1767.0
4098630272.0,286.0
4028572289.0,287.0
1352336002.0,288.0
906519175.0,1637.0
304628365.0,292.0
10216085.0,1668.0
1988797078.0,1673.0
2873991845.0,299.0
437625510.0,300.0
2165359274.0,302.0
73499309.0,1727.0
453935793.0,306.0
952656562.0,307.0
4205724340.0,308.0
2069758649.0,1760.0
2741191355.0,310.0
3283878590.0,312.0
3142525631.0,313.0
523649730.0,314.0
4123853512.0,315.0
1685709517.0,317.0
1258242766.0,318.0
1070883551.0,323.0
1791967981.0,330.0
3400393458.0,1814.0
4201267955.0,333.0
2118558452.0,334.0
1015923445.0,1911.0
949631785.0,2941.0
3668738810.0,1924.0
1073349371.0,339.0
2505499390.0,340.0
4166579669.0,2363.0
3559965440.0,342.0
897123075.0,1951.0
2681979655.0,345.0
1441981193.0,347.0
4106216208.0,350.0
3462333912.0,816.0
638078708.0,352.0
2974147351.0,354.0
2914370328.0,355.0
1892746009.0,1998.0
3677799199.0,357.0
1169204003.0,2028.0
1936007973.0,359.0
806708007.0,360.0
1608631094.0,362.0
1696105276.0,363.0
2249868093.0,364.0
2222695232.0,367.0
2573599555.0,369.0
1429955396.0,370.0
2720654149.0,1855.0
2580513606.0,372.0
690398023.0,373.0
659227466.0,374.0
2955338574.0,375.0
3011535696.0,377.0
1160487773.0,2170.0
744663868.0,1224.0
2922939247.0,388.0
1433748338.0,389.0
2961039507.0,58.0
3111535476.0,391.0
32088949.0,392.0
1426896361.0,2490.0
433057940.0,395.0
3194807165.0,398.0
1019339646.0,399.0
1647534975.0,400.0
858350469.0,2272.0
2629267607.0,2802.0
1027169090.0,3093.0
1849353105.0,408.0
286638994.0,409.0
2989687710.0,413.0
1496245153.0,415.0
2666668962.0,3256.0
1649050534.0,2875.0
4086546480.0,24.0
2431878056.0,420.0
1054392476.0,421.0
3983721386.0,422.0
3547186101.0,425.0
1271940024.0,426.0
2976252859.0,427.0
3947971520.0,2437.0
3630015435.0,434.0
2771690453.0,437.0
3713369050.0,438.0
672097245.0,439.0
1828045801.0,440.0
1945779026.0,442.0
2213987327.0,2600.0
1292968960.0,448.0
4157858823.0,449.0
519627787.0,2629.0
1844839439.0,451.0
4284400659.0,452.0
2236015636.0,453.0
483353625.0,2661.0
3308774428.0,2670.0
1376461855.0,458.0
537584677.0,2692.0
3008103465.0,464.0
3834668077.0,2711.0
446301236.0,468.0
941974584.0,469.0
1939563579.0,471.0
1289569344.0,2767.0
4180902980.0,474.0
3227673675.0,2147.0
1158259789.0,476.0
317244499.0,479.0
454796374.0,481.0
2202215511.0,482.0
2596816399.0,1090.0
3106997341.0,2834.0
733611111.0,488.0
1067025519.0,491.0
4294673526.0,221.0
4185400452.0,499.0
1617239679.0,2560.0
3374695568.0,506.0
1206240403.0,508.0
3201827993.0,511.0
3232900250.0,512.0
1428432027.0,513.0
2711708833.0,515.0
920454310.0,519.0
571753639.0,520.0
1126746995.0,3232.0
1667204277.0,526.0
313550011.0,3069.0
646497471.0,531.0
1315759297.0,532.0
2464793805.0,3265.0
1308222670.0,536.0
1588069587.0,537.0
3661513945.0,540.0
32228579.0,544.0
3753092331.0,3192.0
1938523372.0,548.0
2436539631.0,549.0
1541915895.0,3226.0
3465635069.0,557.0
662078719.0,558.0
1569137927.0,561.0
1092740361.0,562.0
1959060749.0,3276.0
526099734.0,424.0
1805632795.0,3309.0
